         1406056 function calls (1399906 primitive calls) in 3.679 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:137(_broadcast_to_dispatcher)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:141(broadcast_to)
     3074    0.009    0.000    0.009    0.000 stride_tricks.py:183(_broadcast_shape)
     3074    0.000    0.000    0.000    0.000 stride_tricks.py:200(_broadcast_arrays_dispatcher)
     3074    0.011    0.000    0.089    0.000 stride_tricks.py:204(broadcast_arrays)
     6147    0.002    0.000    0.002    0.000 stride_tricks.py:24(_maybe_view_as_subclass)
     3074    0.002    0.000    0.004    0.000 stride_tricks.py:256(<listcomp>)
     8197    0.004    0.000    0.004    0.000 stride_tricks.py:260(<genexpr>)
     3073    0.004    0.000    0.061    0.000 stride_tricks.py:264(<listcomp>)
        1    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
        1    0.000    0.000    0.000    0.000 tokenize.py:319(read_or_stop)
        1    0.000    0.000    0.000    0.000 tokenize.py:325(find_cookie)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
        1    0.000    0.000    0.000    0.000 warnings.py:117(_formatwarnmsg)
        1    0.000    0.000    0.000    0.000 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 warnings.py:403(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:96(_showwarnmsg)
        1    0.016    0.016    3.679    3.679 wi4201_lib.py:104(force_boundary_matrix)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      5/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
    27682    0.006    0.000    0.006    0.000 {built-in method _operator.index}
     7164    0.025    0.000    0.025    0.000 {built-in method _warnings.warn}
     3075    0.001    0.000    0.004    0.000 {built-in method builtins.all}
     6147    0.003    0.000    0.006    0.000 {built-in method builtins.any}
        1    0.000    0.000    3.679    3.679 {built-in method builtins.exec}
     4094    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
    14330    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
    94277    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
    12291    0.004    0.000    0.004    0.000 {built-in method builtins.iter}
    97411    0.009    0.000    0.009    0.000 {built-in method builtins.len}
     9234    0.003    0.000    0.003    0.000 {built-in method builtins.max}
     3073    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
     3073    0.096    0.000    0.096    0.000 {built-in method numpy.arange}
   118873    0.218    0.000    0.218    0.000 {built-in method numpy.array}
62499/56358    0.053    0.000    0.366    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2040    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
